dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range,reconstruction_mse,anomaly
AGR.361,0,-0.0011404444320279,0.2435568564245472,0.0593199423114075,-0.7007265,0.8032713,-0.012207985,0.2435595264507427,1.5039978,3.2980491944028016,0.1872280251564205,-0.4604234289583879,-0.18409348,0.16944408,0.35353756,0.3111592948616821,0.1477195939283256,0.8484387773969397,0.0011236743293185,63866872.21302471,1946.448622852149,94087.88291303642,0.1008777276606119,32812,0.0,3125.0,1.5039978,0.0048983484755928935,False
AGR.361,1,-0.0011484309123121,0.229772662752558,0.0527954765484007,-0.69193697,0.8892145,-0.006348133,0.2297755327313182,1.58115147,3.869926834376133,0.0963080958969571,-0.5618465303111049,-0.17530346,0.1665144,0.34181786,0.2937982031985615,0.1388340296456838,0.8902816828950416,0.0031353335522529,56845938.43809077,1732.4212488370697,73174.63038172491,0.1009051290646999,32813,0.0,3125.0,1.58115147,0.03296950748155806,False
AGR.361,2,-0.0011434013583686,0.2265571784044757,0.0513281550865974,-0.6860771,0.7778797,-0.0034179688,0.226560063676862,1.4639568,3.433436976383771,0.0821748519188283,-0.432677142977909,-0.16749096,0.1596775,0.32716846,0.289323936438709,0.137656374147626,0.7822195217199306,0.0007167237879673,55266071.32597861,1684.2736514789449,59783.67573237043,0.1008441776125316,32813,0.0,3125.0,1.4639568,0.008374916316088766,False
AGR.361,3,-0.001138005664487,0.2554303633543994,0.0652446705233605,-0.7378378,0.84721947,-0.0034179688,0.2554328983906593,1.58505727,3.3167985617274,0.066520318646704,-0.670562888612475,-0.20167255,0.19190598,0.39357853,0.3292663770189177,0.1485741870562271,0.8517594768110595,0.0012700549160191,70245590.62938307,2140.850622619257,143810.87754277472,0.1008167743508472,32812,0.0,3125.0,1.58505727,0.01244072475269567,False
AGR.361,4,-0.0011390557850577,0.2401332145545898,0.0576639607323206,-0.68998337,0.7632303,-0.004395008,0.2401359160567243,1.45321367,3.1783263100872903,0.0755377248099915,-0.6952231440679921,-0.18897629,0.18018723,0.3691635199999999,0.3092000225697471,0.1404441702442316,0.7825553822344782,0.0017264212177582,62087778.03840874,1892.170116673536,120674.87465522652,0.1009051290646999,32813,0.0,3125.0,1.45321367,0.005121235837471126,False
AGR.361,5,-0.0011518845999603,0.2387352001618897,0.0569944957963375,-0.64701223,0.7466278,-0.00048828125,0.2387379790365772,1.3936400299999998,3.1273943216450224,0.0192989676483508,-0.7123425537737322,-0.18897629,0.18116379,0.37014008,0.3080954203899619,0.1380852286290584,0.8203102489842997,0.0045515796335792,61367001.49290402,1870.203928104837,89231.8959176743,0.1008441776125316,32813,0.0,3125.0,1.3936400299999998,0.00941321871236999,False
AGR.361,6,-0.0011197995351263,0.2519268224735793,0.0634671238816343,-0.7729964,0.8491726,-0.016114235,0.2519293111819924,1.622169,3.370678052569128,0.2516981728142948,-0.3395490687642795,-0.1860466,0.16749096,0.35353756,0.3219785362935723,0.1525297475265603,0.8543274221862429,0.0006735193578358,68335956.16623163,2082.5878818221936,96524.8657428726,0.1008441776125316,32813,0.0,3125.0,1.622169,0.007133470669643478,False
AGR.361,7,-0.001158064271678,0.2554898981546425,0.0652750880590695,-0.7280717,0.8511257,-0.006348133,0.2554925227319323,1.5791974,3.331313538647147,0.0997865339164344,-0.6680710650635269,-0.20167255,0.19483566,0.39650821,0.3285258790558675,0.1504069945574256,0.8852936125542157,0.0005378802454612,70278388.5651758,2141.8501939892662,85276.36143849493,0.1008167743508472,32812,0.0,3125.0,1.5791974,0.01314938831947709,False
AGR.361,8,-0.0011369620588702,0.2284340192685552,0.0521821011591866,-0.70463276,0.71146965,-0.006348133,0.2284368486954545,1.41610241,3.11451350367957,0.105176978606158,-0.6018790738199824,-0.17725706,0.16749096,0.34474802,0.2928954015826205,0.1363003253054559,0.8117340364525986,0.003807469487666,56182068.71292149,1712.24151874075,75814.04024767375,0.1008777276606119,32812,0.0,3125.0,1.41610241,0.007253039200541609,False
AGR.361,9,-0.0011456223438437,0.2277912543496696,0.0518888555581959,-0.69974995,0.7202587,-0.0034179688,0.227794135150031,1.42000865,3.1618843019185685,0.0888651569218005,-0.6115275113354683,-0.17725706,0.16846752,0.34572458,0.2914953349781684,0.1371477058549486,0.7822801744077383,0.0021651947211553,55866373.76297494,1702.620192703125,63803.045285804765,0.1008472510057296,32812,0.0,3125.0,1.42000865,0.0059371612213487855,False
