dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd,reconstruction_mse,is_anomaly
AGR.361,0,0.24355953,1.5039978,0.18722803,-0.46042343,-24.133245,0.6763881885149094,False
AGR.361,1,0.22977553,1.5811515,0.096308096,-0.56184653,-38.891288,0.6893034111558508,False
AGR.361,2,0.22656006,1.4639568,0.082174852,-0.43267714,-41.872418,0.369185675152269,False
AGR.361,3,0.2554329,1.5850573,0.066520319,-0.67056289,-40.298542,1.1014830116216958,False
AGR.361,4,0.24013592,1.4532137,0.075537725,-0.69522314,-42.002617,1.0026794020838685,False
AGR.361,5,0.23873798,1.39364,0.019298968,-0.71234255,-47.37793,1.1358403971817395,False
AGR.361,6,0.25192931,1.622169,0.25169817,-0.33954907,-19.052836,0.9522000565109865,False
AGR.361,7,0.25549252,1.5791974,0.099786534,-0.66807107,-57.995406,1.073759337228592,False
AGR.361,8,0.22843685,1.4161024,0.10517698,-0.60187907,-35.30048,0.685999934904672,False
AGR.361,9,0.22779414,1.4200086,0.088865157,-0.61152751,-39.333637,0.7103222804544007,False
AGR.361,10,0.23341205,1.547946,0.17190639,-0.44912363,-31.635423,0.5843926493296762,False
AGR.361,11,0.22634642,1.4121957,0.13589029,-0.57661176,-38.891288,0.6441159613479789,False
AGR.361,12,0.23076539,1.4795818,0.18955206,-0.40762477,-22.666559,0.5356618987025236,False
AGR.361,13,0.25373003,1.5352502,0.23555389,-0.51568118,-29.385374,1.0582465104471108,False
AGR.361,14,0.22462025,1.4219618,0.059556467,-0.575579,-49.717409,0.643294895085091,False
AGR.361,15,0.25163086,1.6270523,0.16129766,-0.50388089,-29.076481,0.7899344477925818,False
AGR.361,16,0.22936674,1.5352502,0.12472318,-0.46369362,-37.998183,0.4854158284975081,False
AGR.361,17,0.221578,1.4463778,0.15987788,-0.51348769,-28.082742,0.5711164283752325,False
AGR.361,18,0.25183452,1.5684548,0.10865408,-0.61386767,-32.58402,0.9087343790249403,False
AGR.361,19,0.22628166,1.4131718,0.05501754,-0.73837401,-32.909641,1.0817198265523487,False
AGR.361,20,0.22696549,1.4307518,0.1269615,-0.61306475,-44.125036,0.7268788383858367,False
AGR.361,21,0.26683485,1.573338,0.036234677,-0.83180485,-72.492578,1.7386034354904247,False
AGR.361,22,0.21989898,1.4200082,0.26075888,-0.34465091,-21.06589,0.7700215404388167,False
AGR.361,23,0.25163086,1.6270523,0.16129766,-0.50388089,-29.076481,0.7899344477925818,False
AGR.361,24,0.25136271,1.4844656,0.12119213,-0.76411273,-45.10891,1.2763622899867724,False
AGR.361,25,0.2410204,1.5860338,0.13541807,-0.36671226,-31.635423,0.4282265880602682,False
AGR.361,26,0.21390772,1.2666788,0.14007894,-0.78910148,-19.388473,1.1055359901094763,False
AGR.361,27,0.24516703,1.4854427,0.023112958,-0.74191636,-43.555847,1.287741440400922,False
