dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd
AGR.361,0,0.24355953,1.5039978,0.18722803,-0.46042343,-24.133245
AGR.361,1,0.22977553,1.5811515,0.096308096,-0.56184653,-38.891288
AGR.361,2,0.22656006,1.4639568,0.082174852,-0.43267714,-41.872418
AGR.361,3,0.2554329,1.5850573,0.066520319,-0.67056289,-40.298542
AGR.361,4,0.24013592,1.4532137,0.075537725,-0.69522314,-42.002617
AGR.361,5,0.23873798,1.39364,0.019298968,-0.71234255,-47.37793
AGR.361,6,0.25192931,1.622169,0.25169817,-0.33954907,-19.052836
AGR.361,7,0.25549252,1.5791974,0.099786534,-0.66807107,-57.995406
AGR.361,8,0.22843685,1.4161024,0.10517698,-0.60187907,-35.30048
AGR.361,9,0.22779414,1.4200086,0.088865157,-0.61152751,-39.333637
AGR.361,10,0.23341205,1.547946,0.17190639,-0.44912363,-31.635423
AGR.361,11,0.22634642,1.4121957,0.13589029,-0.57661176,-38.891288
AGR.361,12,0.23076539,1.4795818,0.18955206,-0.40762477,-22.666559
AGR.361,13,0.25373003,1.5352502,0.23555389,-0.51568118,-29.385374
AGR.361,14,0.22462025,1.4219618,0.059556467,-0.575579,-49.717409
AGR.361,15,0.25163086,1.6270523,0.16129766,-0.50388089,-29.076481
AGR.361,16,0.22936674,1.5352502,0.12472318,-0.46369362,-37.998183
AGR.361,17,0.221578,1.4463778,0.15987788,-0.51348769,-28.082742
AGR.361,18,0.25183452,1.5684548,0.10865408,-0.61386767,-32.58402
AGR.361,19,0.22628166,1.4131718,0.05501754,-0.73837401,-32.909641
AGR.361,20,0.22696549,1.4307518,0.1269615,-0.61306475,-44.125036
AGR.361,21,0.26683485,1.573338,0.036234677,-0.83180485,-72.492578
AGR.361,22,0.21989898,1.4200082,0.26075888,-0.34465091,-21.06589
AGR.361,23,0.25163086,1.6270523,0.16129766,-0.50388089,-29.076481
AGR.361,24,0.25136271,1.4844656,0.12119213,-0.76411273,-45.10891
AGR.361,25,0.2410204,1.5860338,0.13541807,-0.36671226,-31.635423
AGR.361,26,0.21390772,1.2666788,0.14007894,-0.78910148,-19.388473
AGR.361,27,0.24516703,1.4854427,0.023112958,-0.74191636,-43.555847
AGR.361,28,0.24535417,1.6084972,0.21938974,-0.41205376,-25.643535
AGR.361,29,0.19276191,1.2569127,0.094609946,-0.63625043,-30.098943
AGR.361,30,0.22881401,1.383874,0.13699432,-0.52539397,-38.669021
AGR.361,31,0.23524123,1.5596657,0.27033673,-0.36605712,-21.187493
AGR.361,32,0.25101771,1.5489225,0.087053121,-0.51293554,-37.69856
AGR.361,33,0.21272777,1.3907103,0.10989986,-0.50533979,-32.100439
AGR.361,34,0.23470314,1.5059509,0.057469987,-0.73329468,-41.775723
AGR.361,35,0.23153432,1.4307513,0.084864984,-0.55107065,-44.37502
AGR.361,36,0.21017668,1.2910948,0.071473977,-0.87252664,-29.081535
AGR.361,37,0.24393484,1.4405179,0.050292397,-0.83283679,-33.582617
AGR.361,38,0.21948387,1.4610266,0.24400441,-0.33552789,-24.15347
AGR.361,39,0.26722637,1.6827197,0.074004385,-0.57187065,-37.08984
AGR.361,40,0.25239443,1.5772448,0.15938129,-0.50373429,-37.49858
AGR.361,41,0.23153432,1.4307513,0.084864984,-0.55107065,-44.37502
AGR.361,42,0.24806319,1.5645485,0.14335497,-0.44294568,-45.625002
AGR.361,43,0.22152861,1.4737225,0.16562793,-0.43012292,-30.000501
AGR.361,44,0.0060039724,0.050784588,0.05816734,-1.1115495,-5.4989017
AGR.361,45,0.25239443,1.5772448,0.15938129,-0.50373429,-37.49858
AGR.361,46,0.23446735,1.4766522,0.072020381,-0.66232398,-61.827001
AGR.361,47,0.22315322,1.482512,0.13245747,-0.47760832,-33.498774
AGR.361,48,0.25231878,1.6221695,0.089639525,-0.59936294,-64.832064
AGR.361,49,0.20440285,1.2959776,0.23725348,-0.47172855,-20.266572
AGR.361,50,0.23671457,1.4600501,0.090208407,-0.55874362,-32.909641
AGR.361,51,0.23165678,1.4483304,0.1250504,-0.44362581,-34.498712
AGR.361,52,0.23635916,1.4551673,0.094136085,-0.59740924,-40.444688
AGR.361,53,0.22315322,1.482512,0.13245747,-0.47760832,-33.498774
AGR.361,54,0.23754775,1.5577125,0.18888129,-0.43389454,-23.332467
AGR.361,55,0.25947494,1.4200086,0.0053920228,-1.0609645,-56.625072
AGR.361,56,0.22558058,1.5293899,0.128735,-0.58358223,-34.90213
AGR.361,57,0.22434338,1.2862115,0.035158402,-0.83887534,-33.817225
AGR.361,58,0.24590313,1.5762677,0.12035621,-0.64238572,-34.90973
AGR.361,59,0.21328622,1.4248915,0.16001205,-0.51995792,-25.07752
AGR.361,60,0.24388877,1.4952083,0.10880219,-0.53566766,-46.122141
AGR.361,61,0.22859498,1.4493074,0.18911827,-0.50528854,-26.767836
AGR.361,62,0.22079002,1.4258681,0.18588124,-0.51370977,-22.266587
AGR.361,63,0.22079002,1.4258681,0.18588124,-0.51370977,-22.266587
AGR.361,64,0.22974358,1.546969,0.20846058,-0.38115772,-33.898736
AGR.361,65,0.23165678,1.4483304,0.1250504,-0.44362581,-34.498712
AGR.361,66,0.2054205,1.3272295,0.23085601,-0.46352997,-21.785518
AGR.361,67,0.22769796,1.4063358,0.18018704,-0.65978709,-29.750612
AGR.361,68,0.25101771,1.5489225,0.087053121,-0.51293554,-37.69856
AGR.361,69,0.19359287,1.2080822,0.20227346,-0.50610678,-19.600559
AGR.361,70,0.23857236,1.4698162,0.06287571,-0.78338348,-43.333637
AGR.361,71,0.23615744,1.490325,0.25793035,-0.47150567,-22.061793
AGR.361,72,0.25464296,1.6368184,0.1173672,-0.6146465,-44.220118
AGR.361,73,0.24422091,1.5450168,0.14904533,-0.52306254,-52.85291
AGR.361,74,0.21989898,1.4200082,0.26075888,-0.34465091,-21.06589
AGR.361,75,0.25464296,1.6368184,0.1173672,-0.6146465,-44.220118
AGR.361,76,0.24590313,1.5762677,0.12035621,-0.64238572,-34.90973
AGR.361,77,0.23582604,1.4961853,0.10393273,-0.73701367,-54.289043
AGR.361,78,0.23671457,1.4600501,0.090208407,-0.55874362,-32.909641
AGR.361,79,0.22769796,1.4063358,0.18018704,-0.65978709,-29.750612
AGR.361,80,0.23446735,1.4766522,0.072020381,-0.66232398,-61.827001
AGR.361,81,0.24942067,1.5821276,0.088396895,-0.60475262,-34.156207
AGR.361,82,0.25231878,1.6221695,0.089639525,-0.59936294,-64.832064
AGR.361,83,0.25136271,1.4844656,0.12119213,-0.76411273,-45.10891
AGR.361,84,0.19276191,1.2569127,0.094609946,-0.63625043,-30.098943
AGR.361,85,0.22974358,1.546969,0.20846058,-0.38115772,-33.898736
AGR.361,86,0.20354111,1.2110114,0.0070172859,-0.81438602,-30.362808
AGR.361,87,0.0060039724,0.050784588,0.05816734,-1.1115495,-5.4989017
AGR.361,88,0.20902451,1.2696085,0.15943869,-0.63494953,-25.07752
AGR.361,89,0.21989898,1.4200082,0.26075888,-0.34465091,-21.06589
AGR.361,90,0.2054205,1.3272295,0.23085601,-0.46352997,-21.785518
AGR.361,91,0.22859498,1.4493074,0.18911827,-0.50528854,-26.767836
AGR.361,92,0.24393484,1.4405179,0.050292397,-0.83283679,-33.582617
AGR.361,93,0.22152861,1.4737225,0.16562793,-0.43012292,-30.000501
AGR.361,94,0.23615744,1.490325,0.25793035,-0.47150567,-22.061793
AGR.361,95,0.20902451,1.2696085,0.15943869,-0.63494953,-25.07752
AGR.361,96,0.22871854,1.4551673,0.14661788,-0.68938551,-27.999616
AGR.361,97,0.2381316,1.5127878,0.10532364,-0.58293201,-40.664779
AGR.361,98,0.22079002,1.4258681,0.18588124,-0.51370977,-22.266587
AGR.361,99,0.22152861,1.4737225,0.16562793,-0.43012292,-30.000501
AGR.561,0,0.22489625,1.8797045,0.22475388,0.13085316,-29.454438
AGR.561,1,0.27369876,2.2981377,0.10198287,0.050395307,-49.377388
AGR.561,2,0.28484209,2.3426723,0.14540126,0.043520219,-45.776394
AGR.561,3,0.25915483,2.137631,0.22676438,0.12974548,-30.750824
AGR.561,4,0.23961892,2.0671182,0.16151831,0.10424161,-34.300305
AGR.561,5,0.21251501,1.8323874,0.19813427,0.087036804,-38.124359
AGR.561,6,0.25170074,2.3398891,0.25317624,0.14003335,-27.846523
AGR.561,7,0.21323347,1.7136297,0.20356963,0.088778453,-34.445359
AGR.561,8,0.26085709,2.3009215,0.14381709,0.058470568,-37.702318
AGR.561,9,0.21823396,1.9010434,0.19284066,0.068508569,-31.700315
AGR.561,10,0.27136936,2.3306107,0.15067151,0.13759085,-48.627371
AGR.561,11,0.21340473,2.1172195,0.15623387,0.034653757,-34.223139
AGR.561,12,0.22205637,1.7451749,0.18973297,0.042443346,-32.300305
AGR.561,13,0.25935266,2.1051579,0.21321381,0.049223944,-34.183249
AGR.561,14,0.24591382,2.1830921,0.23864593,0.15275268,-27.231119
AGR.561,15,0.22405778,1.8704271,0.18253951,0.058130195,-32.300305
AGR.561,16,0.20657247,1.6728077,0.15064139,0.037519496,-37.374391
AGR.561,17,0.23428917,1.859293,0.17597214,0.081472339,-37.556589
AGR.561,18,0.2631922,2.2814383,0.13818442,0.07732334,-47.627308
AGR.561,19,0.25370499,2.0745406,0.22811736,0.11140665,-30.416166
AGR.561,20,0.24700312,2.0142341,0.14510587,0.1226081,-50.000163
AGR.561,21,0.23019175,1.8973321,0.1881577,0.093112714,-33.300357
AGR.561,22,0.22531,1.6820845,0.22996715,0.07583281,-25.07725
AGR.561,23,0.26018912,2.1218581,0.17244257,0.094867523,-28.61582
AGR.561,24,0.27094407,2.4187508,0.17624552,0.18813967,-38.700367
AGR.561,25,0.23679613,1.9019713,0.20811979,0.18597592,-28.082876
AGR.561,26,0.23643641,2.0819631,0.18609896,0.10767893,-48.571528
AGR.561,27,0.22720874,2.0745402,0.21579219,0.14318998,-32.500335
AGR.561,28,0.22943733,2.0448513,0.19632447,0.18348457,-32.701973
AGR.561,29,0.22920053,2.0921688,0.24379406,0.15700848,-27.250713
AGR.561,30,0.22678525,1.9854722,0.18525164,0.050102701,-32.900296
AGR.561,31,0.20102311,1.5995121,0.15429009,-0.042989083,-48.501258
AGR.561,32,0.2286252,1.8750653,0.21053359,0.16321545,-29.637572
AGR.561,33,0.24683316,1.9511447,0.20501387,0.082497576,-29.750825
AGR.561,34,0.28190164,2.4725628,0.18048445,0.048864645,-37.792008
AGR.561,35,0.23077708,1.9799061,0.18136141,0.11314197,-36.889922
AGR.561,36,0.21142795,1.7507415,0.13287067,-0.0013440684,-44.00016
AGR.561,37,0.22678138,1.8407378,0.19457625,0.056323083,-29.637572
AGR.561,38,0.12762395,1.0409813,-0.081035449,-0.08935819,187.9733
AGR.561,39,0.3064417,2.4855523,0.092566912,-0.027776628,-51.000918
AGR.561,40,0.23658613,1.851871,0.1903867,0.026192842,-31.092231
AGR.561,41,0.24308393,2.0532017,0.26731277,0.12510225,-23.333172
AGR.561,42,0.20638191,1.6208515,0.20633643,0.04973751,-27.745469
AGR.561,43,0.25405342,2.2907161,0.21418752,0.14482811,-28.000393
AGR.561,44,0.27258468,2.3807111,0.2096854,0.11690066,-38.900399
AGR.561,45,0.22313409,1.920527,0.22683739,0.14272241,-26.584019
AGR.561,46,0.23470518,2.0309348,0.13063867,0.076571617,-42.377066
AGR.561,47,0.25796668,2.0977354,0.22294003,0.19829505,-36.700367
AGR.561,48,0.22972789,1.96135,0.22882363,0.099250219,-30.181691
AGR.561,49,0.27320059,2.3649393,0.10688265,0.020941237,-49.377388
AGR.561,50,0.012864384,0.10947895,-0.0024174804,0.069699273,-18.006689
AGR.561,51,0.25220581,2.034646,0.17734648,0.10066231,-40.001063
AGR.561,52,0.24378449,2.1951537,0.18451795,0.14689927,-31.818034
AGR.561,53,0.24859404,2.164536,0.16581011,0.0764456,-40.001063
